week,team,opponent,hypothetical rating,error
10,Florida Atlantic,Alabama-Birmingham,-3.0,75.1
1,Florida Atlantic,Charlotte,-3.0,117.4
8,Florida Atlantic,Rice,-3.0,0.05
3,Florida Atlantic,Southeastern Louisiana,-3.0,112.12
4,Florida Atlantic,Central Florida,-3.0,15.52
6,Florida Atlantic,North Texas,-3.0,3.48
2,Florida Atlantic,Ohio,-3.0,4.41
5,Florida Atlantic,Purdue,-3.0,46.56
9,Florida Atlantic,Texas-El Paso,-3.0,0.17
10,Florida Atlantic,Alabama-Birmingham,-2.0,67.33
1,Florida Atlantic,Charlotte,-2.0,108.55
8,Florida Atlantic,Rice,-2.0,0.42
3,Florida Atlantic,Southeastern Louisiana,-2.0,104.38
4,Florida Atlantic,Central Florida,-2.0,18.98
6,Florida Atlantic,North Texas,-2.0,5.27
2,Florida Atlantic,Ohio,-2.0,2.85
5,Florida Atlantic,Purdue,-2.0,41.0
9,Florida Atlantic,Texas-El Paso,-2.0,0.74
10,Florida Atlantic,Alabama-Birmingham,-1.0,59.99
1,Florida Atlantic,Charlotte,-1.0,100.05
8,Florida Atlantic,Rice,-1.0,1.18
3,Florida Atlantic,Southeastern Louisiana,-1.0,96.91
4,Florida Atlantic,Central Florida,-1.0,22.8
6,Florida Atlantic,North Texas,-1.0,7.43
2,Florida Atlantic,Ohio,-1.0,1.63
5,Florida Atlantic,Purdue,-1.0,35.78
9,Florida Atlantic,Texas-El Paso,-1.0,1.71
10,Florida Atlantic,Alabama-Birmingham,0.0,53.07
1,Florida Atlantic,Charlotte,0.0,91.9
8,Florida Atlantic,Rice,0.0,2.32
3,Florida Atlantic,Southeastern Louisiana,0.0,89.72
4,Florida Atlantic,Central Florida,0.0,26.96
6,Florida Atlantic,North Texas,0.0,9.97
2,Florida Atlantic,Ohio,0.0,0.75
5,Florida Atlantic,Purdue,0.0,30.92
9,Florida Atlantic,Texas-El Paso,0.0,3.1
10,Florida Atlantic,Alabama-Birmingham,1.0,46.57
