Rank,Team,Rating,Std Dev
1,Ohio State,40.97747588435683,7.5654688824928105
2,Georgia,39.17033603117733,8.002563267256726
3,Michigan,35.27071667031346,6.7041762922803585
4,Alabama,33.932340228845874,7.324162890922257
5,Tennessee,32.76138969002748,7.236328585805484
6,Texas,27.1266842140664,7.848578112385892
7,Penn State,26.176171451722432,7.234361709836254
8,Texas Christian,24.40656824977653,6.832109108303149
9,Kansas State,23.51509861109783,7.563154794417176
10,Illinois,22.501525965928224,7.423208054333651
11,Oregon,22.50056817040807,6.974599729346107
12,Central Florida,21.993527950446804,7.847435072987142
13,Louisiana State,21.449280903146683,7.041669038672821
14,Baylor,21.42061608254668,7.541799204776824
15,Southern California,21.375366953044058,7.063696018742687
16,Louisville,20.703152546936742,7.810798312835898
17,Wisconsin,19.98599145689602,7.660391988932067
18,Utah,19.886578632427046,6.4479141872727395
19,Florida State,19.69193664316081,7.136273188451701
20,Minnesota,19.331865528930877,7.317407609090246
21,Clemson,19.215029966664606,6.7870000439324265
22,Iowa State,18.868050969840343,6.860628711253448
23,Mississippi State,18.791999469284878,6.929060121289216
24,Iowa,18.52386120288185,6.7385180492513
25,Kansas,18.51844331809566,6.406989971100555
26,Mississippi,18.350285553192254,7.264648554573532
27,Tulane,17.833981476452067,6.974902129591351
28,Maryland,17.77309222348435,6.552128596931906
29,Notre Dame,17.335930842285556,7.7424382415988315
30,UCLA,17.14881889466755,6.066991822762593
31,Western Kentucky,16.973971357257337,8.677896614287944
32,Cincinnati,16.50242134326865,6.616831694141924
33,Duke,16.443619099080795,6.754921730674278
34,Washington State,16.390208754827565,6.975986717572314
35,Oklahoma,16.04776079339993,8.349450037362827
36,North Carolina,15.748868596080255,6.643535408008357
37,Southern Methodist,15.258870425919246,7.341715326167965
38,Wake Forest,14.872828423791493,7.10667546121161
39,Washington,14.489845556615345,6.648510023276649
40,South Alabama,14.42270870200304,6.654492118450466
41,Liberty,14.065531192713598,7.138168352006583
42,East Carolina,14.040042002240728,6.986368182319914
43,Oregon State,13.581425865367848,6.782126299803477
44,James Madison,13.555587261526298,7.424568360814822
45,Syracuse,13.417093598454656,7.542546859436197
46,North Carolina State,12.885368832586877,6.707506280029124
47,Arkansas,12.64090707652952,6.664220835080941
48,Kentucky,12.581794330087165,6.917849716307423
49,Florida,12.32066791921331,7.165676480540944
50,Purdue,12.157668362789865,6.936932742052299
51,Air Force,12.149352245350217,7.276840537335917
52,Oklahoma State,12.109032641624323,8.026692592328247
53,Missouri,12.05692464428683,7.080259919696121
54,Michigan State,12.01755855826969,7.561950171003862
55,South Carolina,12.01722673703151,6.934326746564156
56,Texas Tech,11.89893733571051,7.64159742588249
57,Texas-San Antonio,11.66806434691454,5.995497942332809
58,Memphis,11.1975770237142,6.762869796888434
59,Boise State,10.415738062028973,7.4974798644693745
60,North Texas,10.347878955794734,8.781809330463691
61,Pittsburgh,10.262242014802105,6.748039131236629
62,Troy,10.218676418145463,6.934913161189677
63,San Jose State,9.877159550530017,7.550165430391293
64,Appalachian State,9.740418071294414,6.74033586651066
65,Toledo,9.6535428783665,7.202314566681956
66,Houston,9.626673459628988,6.618745038418972
67,Coastal Carolina,9.272312868189825,7.719642057415934
68,Marshall,9.233258338838432,7.382632588662078
69,Alabama-Birmingham,8.932902620836854,6.939252436006466
70,Texas A&M,7.504999285022471,6.9683195072573865
71,Ohio,7.245141900742168,6.997119272541405
72,West Virginia,7.054915784462381,7.414511676173286
73,Fresno State,6.486143475599749,7.144578485073707
74,Georgia Southern,6.47675605960455,6.130545888301273
75,Navy,6.036130200659458,7.435144583342746
76,Brigham Young,5.8507963045089495,7.017038248305718
77,Buffalo,5.048387876737051,7.185936739972626
78,Florida Atlantic,4.770891869860414,6.639853314341741
79,Auburn,4.5838091964919006,6.577061679212839
80,California,4.50664012728241,7.007030951582008
81,Nebraska,4.290821635422455,6.801645295091201
82,Louisiana,4.027540266026923,7.397255335359008
83,Georgia State,3.5665035496275497,7.8537920687362
84,Northwestern,3.3944544810699915,7.31953601280346
85,Indiana,3.291055372251827,7.015723992413662
86,Virginia,3.1044401891358264,6.164439033030828
87,Old Dominion,1.9319831114158659,7.508209555754607
88,Vanderbilt,1.2754046628461628,7.895203841453465
89,Wyoming,0.9373952030258256,6.363476301235546
90,Arizona,0.9315843896981185,6.721317724305547
91,Tulsa,0.8591452796074038,6.853019737620204
92,Rutgers,0.4799967414331847,5.998302988726393
93,Northern Illinois,0.3682007839432836,7.41220649211793
94,Miami (OH),0.3598424721877342,6.5733673854445005
95,Army,-0.07479488376935968,7.051722378721972
96,Miami (FL),-0.2618463558789508,7.575956177106935
97,Southern Mississippi,-0.2684716005794359,7.859357879621742
98,Arizona State,-0.6025686038657792,6.626694460556199
99,Nevada-Las Vegas,-0.6030028942533934,8.075606189926408
100,Central Michigan,-0.8810011168223624,6.987114779771202
101,San Diego State,-0.8812868340214919,6.949413795387964
102,Temple,-1.0071189366438023,7.508976182280531
103,Virginia Tech,-1.0607497177746195,6.869629651457141
104,Kent State,-1.1126969914513145,7.245110828717522
105,Georgia Tech,-1.4278001523950568,7.417772929514115
106,Texas State,-1.583557150993625,7.454526085480942
107,Stanford,-1.7575330355379517,7.358851181163918
108,Ball State,-1.8877833362398702,6.589836095562597
109,Arkansas State,-2.0608532164011777,6.713731115302714
110,Middle Tennessee State,-2.5084097500696036,7.2326871899883525
111,Eastern Michigan,-3.2207937848385795,7.790885327303245
112,Bowling Green,-3.730496374657143,7.290153662126551
113,Utah State,-3.9303178044309224,6.791847825343772
114,Rice,-4.253424991543306,8.518919968121327
115,Texas-El Paso,-5.4704955511066915,7.291080234133892
116,Boston College,-5.677260248636095,6.971038388275081
117,Louisiana Tech,-5.688453834305042,6.628813082350115
118,Connecticut,-5.796913935451438,6.868311530982052
119,Louisiana-Monroe,-6.5716308786576505,6.933368044159005
120,South Florida,-6.658661583119609,7.52187933719009
121,Nevada,-7.084111988434824,7.534139546877878
122,Western Michigan,-8.32776110366717,7.026744247532076
123,New Mexico State,-11.33818948939249,7.440532827796647
124,New Mexico,-11.56684106102999,7.077552239828871
125,Colorado State,-12.375566654589454,6.592208904363407
126,Akron,-12.903697044697251,7.171317026950744
127,Charlotte,-13.54273831965734,8.698552924965078
128,Florida International,-14.8090596446643,8.368283464517726
129,Colorado,-15.440481038877724,6.773114114645499
130,Hawaii,-16.120752879567995,7.923928798677219
131,Massachusetts,-19.520849868046188,6.6368649127825465
