Rank,team,wins,losses,wins_from_1best,wins_from_1worst,wins_from_2best,wins_from_2worst,wins_from_3best,wins_from_3worst,wins_from_4best,wins_from_4worst,wins_from_5best,wins_from_5worst,wins_from_6best,wins_from_6worst,wins_from_7best,wins_from_7worst,wins_from_8best,wins_from_8worst,wins_from_9best,wins_from_9worst,wins_from_10best,wins_from_10worst,wins_from_11best,wins_from_11worst,wins_from_12best,wins_from_12worst
1,Tennessee,8,0,7,0,6,0,5,0,4,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Georgia,8,0,7,0,5,0,4,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
3,Clemson,8,0,6,0,6,0,6,0,5,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
4,Texas Christian,8,0,6,0,6,0,5,0,5,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Ohio State,8,0,6,0,6,0,5,0,4,0,4,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0
6,Michigan,8,0,6,0,6,0,4,0,4,0,3,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0
7,Mississippi,8,1,6,6,5,0,3,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
8,Oregon,7,1,7,8,4,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,UCLA,7,1,6,7,6,0,6,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Southern California,7,1,6,6,4,0,4,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
11,Tulane,7,1,6,5,6,0,5,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Illinois,7,1,6,3,5,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alabama,7,1,5,8,5,0,5,0,3,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
14,Liberty,7,1,5,6,4,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,North Carolina,7,1,5,5,5,0,4,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Coastal Carolina,7,1,5,3,5,0,4,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Louisiana State,6,2,8,5,5,8,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Wake Forest,6,2,7,5,5,8,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Utah,6,2,7,4,6,7,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Kansas State,6,2,6,7,5,8,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,North Carolina State,6,2,6,6,5,8,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Oregon State,6,2,6,6,4,7,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Syracuse,6,2,6,5,5,8,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Troy,6,2,6,5,5,8,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Central Florida,6,2,6,5,4,6,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Penn State,6,2,5,8,5,8,5,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Oklahoma State,6,2,5,6,5,8,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Texas-San Antonio,6,2,5,5,5,5,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Maryland,6,2,5,5,4,8,3,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Boise State,6,2,5,4,4,6,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,South Alabama,6,2,4,6,2,7,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cincinnati,6,2,4,5,4,6,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Washington,6,2,3,3,3,7,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
